ID,Democrat,ZWpoor,ZBpoor,Zincome,Zedu,Zagency,Zzerosum
63.00,0.00,1.85519,-0.11350,-2.16744,-0.88495,-1.55245,1.10337
65.00,0.00,0.19489,0.64955,-2.16744,-0.88495,-0.53838,1.42320
68.00,1.00,1.85519,1.41259,-2.16744,-0.88495,0.47568,2.06287
70.00,0.00,-1.46541,2.17564,-2.16744,-0.88495,0.72920,2.22279
71.00,0.00,2.68534,2.17564,-2.16744,-0.88495,1.48975,-0.33588
72.00,0.00,2.68534,2.17564,-2.16744,-0.88495,1.48975,1.26329
74.00,0.00,2.68534,2.17564,-2.16744,-0.88495,1.48975,2.06287
75.00,0.00,0.19489,-0.11350,-1.95914,-0.88495,-0.03135,-0.33588
76.00,0.00,0.19489,-0.11350,-1.95914,-0.88495,1.23623,-1.13547
77.00,0.00,-0.63526,0.64955,-1.95914,-0.88495,-1.04542,-0.33588
78.00,1.00,1.85519,1.41259,-1.95914,-0.88495,-0.79190,-0.33588
79.00,0.00,1.85519,2.17564,-1.95914,-0.88495,-0.03135,2.54262
80.00,0.00,-1.46541,0.64955,-1.75083,-0.88495,-0.53838,0.30379
81.00,0.00,1.02504,0.64955,-1.75083,-0.88495,0.47568,0.30379
85.00,0.00,2.68534,0.64955,-1.54252,-0.88495,1.48975,2.86246
86.00,0.00,1.85519,2.17564,-1.54252,-0.88495,-0.79190,0.46370
88.00,0.00,-1.46541,-1.63959,-1.33421,-0.88495,0.47568,-1.13547
90.00,0.00,0.19489,-0.11350,-1.33421,-0.88495,-1.04542,0.94345
91.00,0.00,0.19489,0.64955,-1.33421,-0.88495,-0.53838,0.94345
92.00,0.00,-0.63526,1.41259,-1.33421,-0.88495,1.48975,-0.97555
93.00,0.00,-1.46541,-1.63959,-1.12591,-0.88495,-0.53838,-0.65572
94.00,0.00,1.02504,-1.63959,-1.12591,-0.88495,-1.04542,-0.33588
95.00,1.00,-0.63526,-0.87654,-1.12591,-0.88495,0.22217,-0.17597
97.00,0.00,0.19489,-0.11350,-1.12591,-0.88495,0.47568,-0.17597
98.00,0.00,-0.63526,0.64955,-1.12591,-0.88495,-0.03135,0.46370
99.00,0.00,1.02504,0.64955,-1.12591,-0.88495,-0.53838,0.30379
100.00,1.00,-1.46541,1.41259,-1.12591,-0.88495,-0.28487,-0.17597
101.00,0.00,1.02504,1.41259,-1.12591,-0.88495,-1.04542,0.78354
